Asana,Benefits
Vrikshasana,"1) Stretches, Strengthens, lengthens: Vrikshasana stretches and strengthens the muscles of the legs, hips, back, core, arms, and shoulders. At the beginner level this hip opener helps to bring stability in the pelvic girdle, while preparing the body for poses like Half Lotus Tree Pose (Ardha Padma Vrksasana), Half Chair Pose (Ardha Utkatasana), and the likes.
2) Flexibility and Range of Motion: This balancing pose which involves the joints of the hips, knee, ankles and shoulders are all engaged together helping in keeping the body stable. 
3) Chest, Diaphragm and Breath: During the practice of Tree Pose, when the arms are stretched upwards, there is the active use of the chest, rib cage, diaphragm, intercostal muscles (breathing muscles). The active use of these helps in taking in more air into the lungs, thus also ensuring the efficient use of the lungs.
4) Awareness and Focus (Concentration): According to yoga guru B.K.S. Iyengar, paying attention to your breath helps merge body and mind and create a state of physiologic equilibrium. Students maintain a straight look during the pose. This aids in mindfulness. 
5) Alignment and Posture: Balancing in this pose without disturbing the prana flow requires having a clear understanding on the alignment aspects. The placing of the foot in the groin, the outward movement of the hips and knees, the grounding action of the five toes with all of them pointed in front, the placing of the hips and pelvis, the alignment of the shoulders with the hips and foot, and the raised hands with the shoulders and hips, together help in completing the pose to gain the maximum benefit. When all of these come together, the posture looks good and balancing becomes easier. "
Tri Pada Adho Mukha Svanasana,"1. Three Legged Downward Facing Dog Pose is a deep hip opener, and with the raising of one leg it puts pressure on the extended hip as well as the balancing leg muscles. The muscles of the standing leg are stretched like the hamstrings, calves, hip flexors, gluteus, along with the active involvement of the joints of the hips, knees, and ankles.
2.The repeated practice of this action helps improve the range of motion of the hip flexors and psoas muscles thereby helping the hips to open up more than their range. The lengthening of the spine in a forward bend helps the hips to move forward creating more space for the lower back to open up. And this action helps to extend the leg higher from the lower back right up to the ankles.
3.One of the key elements in Tri Pada Adho Mukha Svanasana is balance and stability while the palms are grounded pushing the torso down and extending one leg. This effort requires the awareness of body-breath ensuring they are in sync to go deeper into the posture. This kind of awareness helps in two ways, one, it avoids injury, two, it prepares the body for more challenging poses like One Handed Three Legged Downward Facing Dog Pose, or Standing Split Pose. 
4.The practice of this inversion pose helps increase blood flow to the heart with the extending of the leg. The reverse flow of blood and lymphatic fluid is forced back to the heart when the leg is extended. It is said that the functioning of the soleus muscles are considered to be the second heart of the human body, pumping venous blood back into the heart."
Dandasana,"1) Dandasana is a starting pose for most of the other sitting postures. For example, if you want to perform Paschimottanasana or the forward bend pose, you have to start with this asana.
2)It helps to strengthen the muscles of the back and corrects minor postural defects.
3) Perfecting this asana gives you the strength and steadiness to do more advanced yogic poses.
4) The muscles of the chest and abdomen is stretched and strengthened.
5) Maintaining the pose for longer durations can remove stiffness of the lower back muscles.
6) It can improve digestion.
7) It can remove fatigue in the leg muscles.
8) It increases the flexibility of the lower back and hips."
Purvottanasana,"1.Improves the functioning of the thyroid gland: The thyroid gland at the neck, with the secretion of thyroid hormone, helps in metabolic rate of the body and also helps in the development of the human body.
2.Improves the functioning of the adrenal gland: The adrenal gland which lie above the kidneys helps in the supply of blood and secretes a number of different hormones which are essential for a proper balance within the body.
3.Improves the functioning of the thymus:The thymus located in front of the heart, helps in maintaining the immune system. It helps the body fight foreign invaders.
3.Purvottanasana improves the strength at the wrists going upwards to the entire arm including the shoulders. The weight of the body if balanced well on the shoulders and the wrists will not only make the pose easy but will improve the muscle strength around the shoulders without causing injury.
Reduces cramps at the calf, hamstrings and quadriceps: Repeated practice of this pose will open the muscles at the quadriceps, hamstrings and calves thus reducing the cramps.
4.Great pose for athletes: For most sports the arms and the legs are to be worked at, and Upward Plank Pose gives both the benefit of improving the arm strength and the leg strength.
5.Improves the alignment of the shoulders: If practiced well can help in reducing rounded shoulders and thus improving the alignment.
Core strength is improved: With the practice of Purvottanasana, pulling in the tummy consciously will improve the core strength.
6.Works well in improving the balance: This pose is a great and easy way to learn to improve the balance of the body keeping in mind the alignment of the arms and the feet.
7 Great pose to practice by women during menstruation: Purvottanasana, can be performed to ease heaviness around the lower abdomen during menstruation.
Tones the entire body: This pose works on the entire body, right from the toes to the neck, giving room for a well toned body with the burning of fat around the thighs, hips, chest and abdomen."
bharmanasana,"1.This pose stretches the arms, shoulders, elbows, wrists, chest, back (upper, middle, and lower), hips, quadriceps, hamstrings, knees, and neck. While these stretches are subtle and not intense, they help strengthen the areas of the body, as mentioned above. Along with these stretches, the spine muscles are toned.

2.Though there is no chest opening in this pose. Due to the stability and balance in the pose, it helps increase the breath capacity. The core is effectively pulled up to maintain the balance, the breath becomes deeper, and the student starts chest and not abdominal breathing. Such deep and calm inhale and exhales effectively affect the respiratory system by expanding the thoracic cavity space.

3.In this pose, the student creates awareness of stabilizing and aligning the body. This action stabilizes the mind too. The gaze is on the palms, and this calm, restorative pose is a pose of self-awareness. Itâ€™s a passive core strengthening pose."
Ashtanga Namaskara,"1) It strengthens the muscles of the hands and legs.
2) It strengthens the chest."
Pawanmuktasana,"1. It stabilizes the hips. By pressing the thighs onto the abdomen, the pressure falls on the lower back thus strengthening the lower back. As one needs to pull up the knees towards the chest and balance the body, the strength of the arms and shoulders are essential, hence this works to tone the arms and shoulders. This strengthens the cervical spine too. 
2.he toning of the lower body and the strengthening of the lower back combined with hip stability enhances the body posture. The pushing of the knees towards the chest is an action which moderately opens the hip joints and simultaneously tones the glutes. This primarily enhances lower body flexibility.
3.he toning of the lower body and the strengthening of the lower back combined with hip stability enhances the body posture. The pushing of the knees towards the chest is an action which moderately opens the hip joints and simultaneously tones the glutes. This primarily enhances lower body flexibility.
4.Pawanmuktasana (Wind Release Pose) is therapeutic and can be used by yoga teachers to treat menstrual disorders, flatulence, constipation, infertility and impotence or diabetes. Flatulence is a buildup of gas in the digestive system that can lead to abdominal discomfort. Excessive flatulence can cause discomfort and distress. Many times, headaches and migraines are caused due to Vata dosha (gaseous formation in the body which is not passed out). This pose is good to treat such physical conditions."
Ashta Chandrasana,"1.With the deep stretch of the arms above your head in this pose, helps the shoulders and the neck get their equal share of stretch thus reducing any stiffness.
2.With the muscles being activated, including the abdominal muscles, the digestive system and the reproductive system improve in their functions, thus reducing indigestion and problems related to the reproductive system.
3. The flexing of the knees, ankles, hips, shoulders, elbow, entire spine and neck helps to keep them strong while the muscles around these joints become strong with contraction while in Ashta Chandrasana.
4.The expansion of the diaphragm that improves the respiratory system helps with asthma patients. The flexing of the hips and the entire leg works from the base of the spine, creating better movement of the nerve including the sciatic nerve. The building of stamina and stability with awareness of the body, brings in fresh energy within the body to help reduce symptoms related to insomnia."
Salabhasana,"1) Locust Pose stretches and strengthens the back and core muscles, improving your spinal mobility.
2)Many everyday activities (such as sitting) flex the spine while locust pose extends it. 
3) It opens the chest, which can be helpful in improving your posture and counteract slouching."
utkatasana,"1.The position of the hips in this pose, take the weight of the upper body and with practice, the muscles around the hips, gain strength giving it a strong look. The entire upper body, shoulders, chest, spine, neck, middle and upper back get stretched in this pose, while the lower body gets strong. 

2.The lengthening of the spine coupled with the strengthening of the knee and ankle joints supported with a stable hip enhances overall flexibility and improves agility. Chair Pose (Utkatasana) is a challenging and dynamic pose as it provides momentum to transit to many other poses involving squatting and twisting.

3. Utkatasana tones the core muscles by tightening the abdominal muscles while holding the pose. Creating a tummy tuck while bringing the navel close to the spine tightens the abdominal muscles bringing strength and stimulating the digestive system.

4. The abdominal toning acts as a great massage to the digestive organs, and it is adequate to treat constipation, Ibd (Irritable bowel disorder), lack of appetite, and acidity. The neck stretch stimulates the thyroid glands, which balances the thyroxin levels (Hormone responsible for metabolism and health of the bones and joints)."
anjenayasana,"1. Crescent Low Lunge Pose (Anjaneyasana) stretches both the anterior and posterior parts of the body from the toes to the fingertips. This asymmetrical balancing pose stretches the arms, armpits, shoulders, neck, intercostal muscles, abdomen, psoas muscles, quadriceps, shin muscles, and pelvic muscles. It lengthens the spine by stretching it in a beautiful crescent shape.
2.Crescent Low Lunge Pose (Anjaneyasana) is a back bending chest opener pose. The moon-shaped backbend opens the frontal chest and enhances blood circulation to the heart and lungs. 
3.In this pose, the practitioner has to focus on the alignment of the legs and the hips. The lower body supports the upper backbend, hence a wrong lower body alignment can cause stress to the knees and hips. The folded leg should be aligned in such a way that the knees and ankles are in one straight line and perpendicular to the thigh. 
4.Crescent Low Lunge Pose (Anjaneyasana) stimulates the digestive and reproductive systems. The deep abdominal stretch happening with the backbend stimulates the digestive system and helps in treating ailments like constipation, IBS (Irregular Bowel Syndrome), lack of appetite, and acidity. The pelvic stretch and the groin stretch enhance blood circulation in the groin area and benefits the urogenital system. Reproductive ailments in men like erectile dysfunction and infertility can be cured and it benefits prostate health too.
"
Kraunchasana,"1) Stretches your back, hips, and hamstrings
2) Stimulates your heart and abdominal organs
3) Therapeutic for flat feet and persistent gas (flatulence)"
Svastikasana,"1) Soothing and Calm: When the spine is straight and follows the neutral shape, the energy flow from the base of the spine to the crown of the head moves encouraging the nervous system to be relaxed. A calm nervous system helps calm the mind, building better focus and awareness.
2) Concentration and Memory: The benefits of pranayama and meditation is enhanced when done in the right seated posture. Seated in Swastikasana the level of concentration increases as the energy flow is smooth through the unblocked channels. This brings an increased level of focus, concentration, and memory.
3) hakra activation: When the flow of prana is smooth and easy through unblocked channels, the Muladhara (Root) Chakra along with Ajna (Third Eye) Chakra is activated. This benefit though is derived when the practice is done for a longer duration."
Sucirandhrasana,"1.Reverse Pigeon Pose helps to reduce stiffness in the outer hip by effectively stretching the gluteus Maximus and hamstring muscles. Hence, for beginners who have tightness in their Hip region, this pose can be a great hip opener as it stretches hamstrings and quadriceps at the same time. Since the lower back is grounded, it supports the gentle stretch to the muscles around the lower back.
2. With the intense stretch in the hips, gluteus, hamstrings, and pelvic floor muscles, Eye Of The Needle Pose should be practiced by women. Menstrual symptoms which can range from slight discomfort to debilitating experiences depending on the individual will benefit from this supine stretch pose
3. Students who are regular in sports and running or are athletes should include the practice of the Eye Of The Needle Pose as part of their cooling down workout.
4."
Supta Trivikramasana,"Stretches and Strengthens: At an advanced level, the hamstrings, pelvic floor muscles, gluteus maximus, and groin muscles are stretched. These when stretched help to strengthen the hips, the pelvis, and the hip girdle. Deeper stretch of the abdominal muscles along with the core muscles, helps to strengthen the internal organs, while stimulating them.
Flexibility and Sthiram: While the practice of Supine Splits Pose (Supine Tirvikramasana) helps to build flexible hips, knees, and shoulders, it also helps students to achieve sthiram while in the pose. The practice of advanced level poses are mainly done to achieve this stability and calmness.
Awareness and Balance: The awareness of the stretched muscles, the emotions, the discomfort, the breath, and the body as a whole should be a guide to achieve the full posture in Supine Splits Pose. When this awareness is know and practiced, then, there are changes in the body and mind, leading to an overall balance."
Anantasna,"1) Stretches and Strengthens: Raising one leg with the support of the hand in Ananthasana (Side Reclining Leg Lift Pose), stretches the hips, hamstrings, pelvic floor muscles, groin muscles, gluteus maximus, psoas, biceps and triceps, and core muscles. The stretching of these muscles, when done with awareness, helps to support the hips and shoulders to remain in balance while lying on the sides of the body, thereby strengthening them as they are engaged.
2)Lower Back and Sciatica: The extended leg increases in hip mobility with the stretch felt more from the base of the spine, the sacrum. This stretch helps to keep the sciatic nerve active thereby maintaining symptoms related to sciatica in control. The stretching of the hamstrings and the groin muscles supports the hips to keep them flexible and strong. With strong hips, the issues related to the lower back (sacrum) or the middle back (lumbar) leading to aches, pain, and stiffness are kept in control.
3) Focus and Concentration: Balancing the body while lying down on the sides in Side Reclining Leg Lift Pose (Ananthasana) requires awareness. With the leg extended upwards the body becomes heavy, and students can lose balance. But, with focus and concentration at the core muscles while learning to engage them (pulling the navel in towards the spine), the balance can be maintained. Hence, a great pose to teach the students to remain focused with awareness to help improve concentration while enjoying the posture.
4) Balance and coordination
5) The stretching and opening of the hips along with the pelvic floor muscles in Ananthasana (Side Reclining Leg Lift Pose) helps women students who can fight symptoms related to menstruation or menopause."
Jathara Parivartanasana,"1) Stretches and Strengthens: The various muscles of the body stretch with this supine Belly Twist Pose Pose like, the shoulders and arms, hamstrings, gluteus maximus (buttocks), calves, chest, abdomen, and lower back muscles. Along with this stretch these muscles are also strengthened, building strong and flexible shoulders, hips, knees, ankles, and neck. The muscles of the spine are strengthened improving in flexibility, and range of motion.
2) Awareness and Focus: All along the twist in Jathara Parivartanasana, the awareness is at the center, near the navel. The deep twist happens right at the navel, and with focus and awareness the students can take the stretch and twist deeper, getting the best from the posture. Breathing slow and deep helps to keep the balance and alignment of the body, which again can only be achieved with awareness.
Manipura Chakra and Internal Organs: Since with the awareness at the navel which is the fire element, and relates to digestion, the Manipura
3) Chakra is stimulated. The stretch on one side of the abdomen along with the contracting on the opposite side, helps to stimulate the other internal organs like liver, kidney, pancreas, stomach, etc. Hence a great supine pose to stimulate the internal organs.
Hips, Shoulders and Flexibility: The practice of Belly Twist Pose when done after intense standing hip opening sequences brings stability to the hips. The twisting action of the hips towards one side with the support of the back, and the twisting action of the shoulders can help with also reducing the stiffness and tensions accumulated. The flexibility of the muscles of the spine, shoulders, and hips are also improved, reducing the stiffness of these muscles.
4) Toning, Lengthening and Posture: With the twist contracting and stretching the muscles of the back, shoulders, and hips, helps to tone and shape the muscles. The toning also happens with the internal organs with the stretching of the deeper tissues and ligaments protecting the organs. The lengthening of the spine, legs, arms and neck are encouraged giving a good posture to the entire body.
5) Energy and Endurance: Twists are a great way for releasing the tensions accumulated at the psoas muscles, the neck and shoulders. When releasing these tensions, the body feels energized. Though through endurance this can be done to hold the posture longer. This helps to keep the body stimulated, purifying it with releasing of toxins from the body."
Bananasana,"1) Stretches, Strengthens, Lengthens: In Bananasana, the complete side muscles of the body are stretched. Along with this stretch, the muscles at the shoulders, arms, hamstrings, gluteus, calves, chest, core (abdomen), and lower back are strengthened. A mild pressure is also on the knees, at the abdomen with the expansion of the oblique muscles, the chest and rib cage, and the IT band (the side thigh going down to the knee).
2) Flexibility and Range of Motion: Banana Pose imposes a slight pressure on the knees, which not only strengthen them, also make them flexible. By stretching the entire body, it makes it flexible to perform the daily chores. The pose gives a range of motion to the runners, and sportsmen by this supine side stretch when practiced on both sides.
3) Chest, Diaphragm and Breath: Banana Pose opens the heart with arms stretching over head, and the active and efficient use of the intercostal muscles (breathing muscles). Expansion of the diaphragm permits sufficient air to reach to the lungs improving breathing.
4) Awareness and Focus (Concentration): As you come into the Banana Pose, the awareness is at the side muscles of the back, chest, abdomen, and hips. With the bending of the body in one direction the students can take the stretch and twist deeper, getting the best from the posture. Breathing slow and deep helps to keep the balance and alignment of the body, which again can only be achieved with awareness.
5) Alignment and Posture: Side bends (which is the lateral spine movement) create a deep stretch to the muscles of the back, hips, chest, and abdomen. This stretching action is a great way for releasing the tensions accumulated at the neck and shoulders. Though it is a wonderfully revitalizing pose, the alignment of the posture is critical. As the student stretches towards one side, the hips should move together along with the feet, shoulders, arms, and head. "
Mayurasna,"1) It builds deeper awareness of the body encouraging more stability and calmness.
2) It strengthens the forearms, chest, and core muscles.
3) The spine is parallel to the floor while the body is raised off the floor, keeping it supple. Unlike most advanced yoga poses, in Mayurasana the spine is less active.
4) With awareness the communication to the brain is improved, thereby encouraging better functioning of the nervous system with the spine being supple and soft. Helps to improve eye sight and better concentration.
5) The pressing of the belly and abdominal muscles against the elbows gives a gentle massage to the internal organs, while also improving the functioning of the internal organs including the stomach for better digestion.
6) Better and improved circulation of blood when you release from the pose, while also stimulating the internal organs and eliminating the toxins.
7) Increases the metabolism in the body, and helps to keep stress and depression away."
rajakapotasana,"Physical (Anatomical) Benefits
Muscles: The toning of the muscles at various levels of the body happens during this pose. The Lower back, hip, thighs, psoas, abdomen, chest, shoulders, neck, hamstring, pelvic, and calves. The toning of these muscles adds to the overall toning of the entire outer body.

Health Benefits
1) Organs: As the abdominal muscles and psoas muscles are put to work, the internal abdominal organs are hence stimulated. The digestive juices are secreted well giving room for good digestion, the pancreas, the liver and kidney are all massaged well thus improving the functioning of these organs. The pelvic muscles are stretched and toned giving room for improved reproductive system. The chest muscles due to the expansion gives room for good functioning of the lungs and proper functioning of the heart. The neck stretch giving room for balancing the thyroid glands. The overall toning of the internal organs takes place as the muscles are put to expand at this pose.
2) Symptoms: Reduces any form of lower back irritation, leg cramps thus taking care of the sciatic nerve, the neck stiffness is reduced, can heal migraines as the improving of the digestion happens with deeper practice of this pose.The sagging shoulders can be corrected and thus make it look strong and firm. The cramps from menstrual cycle for women is cured. Improves any nervous imbalance as the entire spine is stretched.
3) Therapeutic Applications: The back pain is cured, they functioning of the uterus, immune system, imbalance in hormones thus regularising the thyroid .Any asthma related problems. Urninary disorders are treated. Removes stress, fatigue and anxiety."
Bharadvajasana,"1) Human Anatomy
Boosts the Parasympathetic Nervous System: In Bharadvajasana, while the spine gets a gentle twist from the base, the sacrum, the flow of prana along the spine reduces the stress. This , boosting the parasympathetic nervous system, which is responsible for â€˜rest-and-digestâ€™, activities that occur when the body is at rest, especially after eating etc.
2) Strengthens the oblique muscles: While in the twist, the oblique muscles which are part of the abdomen wall need to be flexible to turn and twist the torso in Bharadvajasana. Thus the strength and the flexibility of these muscles improve with repeated practice of Seated Spinal Twist Pose. The functions of these muscles play an important role as they assist in rotating the trunk, making the rib cage flexible, supporting the abdominal wall and helping in flexing the torso.
General Benefits
3) Deep stretch to the spine with the gentle twist: In Bharadvajasana, the entire spine at various parts get a stretch with the twist. At the lumbar region, the thoracic region and the cervical region. Hence while practicing this pose, one needs to connect to these stretches to improve the flow of prana.
4) Stretches the shoulders and the hips: Along with the spine, the shoulders get a deep stretch. The hips too get a gentle stretch with flexing the lower back. The muscles around the hips and the shoulders stretch to improve the flexibility too.
5)Therapeutic for cervical pain: In the Seated Spinal Twist Pose, while the shoulders take a deep stretch towards one side, the neck muscles at the upper part of the spine get a gentle massage with the stretch, thus helping in reducing any pain related to cervicalgia. Remember to go slow with the twist and stay longer for better results.
6)Therapeutic for carpal tunnel syndrome: With the pressure at the wrists while placing them on the floor and while taking the other wrists from behind, the tissue that are connected between the forearm to the hand get expanded and contracted, thus creating the right energy and with this flexing, pain related to carpal tunnel can be reduced, if not cured."
Parighasana,"1) Chest, Diaphragm and Breath: Stiffness in the intercostal muscles can lead to one taking shorter and smaller breaths, as the lungs arenâ€™t able to expand fully. As the intercostal muscles of the extended side are stretched, it helps the lungs expand to their full capacity when breathing. This allows one to draw in deeper breaths, even when not performing the asana.
2) Alignment and Posture: To get the best form Gate Pose, alignment plays an important role. Students should be told to avoid the hips from going into a flexion which will take the pelvis behind, putting more pressure to the lower back. To avoid this engage the pelvis and keep it square (push them forward). To first understand this alignment, students can be introduced to this pose with the support of the wall, by resting the balls of the foot on the wall. This helps engage the deeper muscles of the pelvis (and strengthen the glutes). This small adjustment in alignment allows the hips to open even further, and hence can be included in classes for people who spend a lot of time sitting (in office, or when travelling), and even for students in teen yoga
3) Stimulations and Organs: The lateral bend helps stimulate the internal organs with the stretching and contracting of the deeper muscles. On the left side reside the stomach, small intestine and pancreas, and on the right reside gallbladder, liver and large intestine. As one goes into the lateral stretch, one side of the abdomen is compressed, which reduces the blood circulation in the area. This creates a â€˜Squeeze and Releaseâ€™ motion on the organs, which increases their efficiency once the blood circulation resumes. The organs on the extended side receive a stretch, which helps stimulate the stagnancy in organs.
4)herapy and Healing: Parighasana helps increase the immunity of the body in various ways. Firstly, as the chest is able to expand more than before, it helps increase the functioning of the respiratory system. This helps reduce the frequency and intensity of allergies, over a period of time. Secondly, it stimulates the lymphatic system as one moves the arm overhead, as the armpit houses lymph nodes, which play an integral part in the body's immunity. 
5) Chakra and Balancing: A wonderful practice which is a gentle heart opener, thus stimulating the Anahata Chakra (Heart Chakra), while ensuring balance in the first two chakras (Root and Sacral). The side bend helps to increase the prana moving from the heart towards the Third Eye Chakra, energizing the body. And at the time of releasing from the pose, there is downward flow of energy - apana vayu (removing the excess out) thus ensuring a balance in the energy - and ultimately balance in the first four chakras."
Bhekasana,"1) Improves the functioning of the Adrenal Glands: In Bhekasana or Frog Pose, the deep stretch and pressure at the upper abdomen, while balancing in the pose activates the adrenal glands, located above the kidney. These glands help govern sudden bursts of energy and heat, like the fight or flight response.
2) Improves the functioning of the Pancreas: The pancreas are just below the stomach and helps in the secretion of digestive enzymes into the small intestine. This secretes the hormone insulin, and the pressure and stretch at the lower abdomen in Bhekasana (Frog Pose), helps in the proper secretion of this hormone.
3) Proper functioning of the Reproductive System: The deep stretch at the lower abdomen encourages the internal organs to function well and the reproductive organs too get activated, balancing the level of hormones within the human body.
4) Tightens the Quadriceps: The deep stretch at the Quadriceps, the upper thighs, during the practice of Frog Pose (Bhekasana), helps to not only open these muscles, but also helps to strengthen them and make them tight. These muscles play a great role for stronger looking legs which are beneficial for athletes."
Kurmasana,"1) Blood circulation improves with the elongated spine: In Kurmasana, while the body goes in a forward fold taking the chest, abdomen and the pelvis towards the floor, the spine is elongated in this posture improving the circulation of blood flow. The flow of prana through the spine to other parts of the body becomes smooth opening the blocks.
2) Activates the abdominal organs improving digestion: With the massage around the entire abdominal area with the forward fold in Kurmasana, the internal organs too get activated, thus improving digestion, reducing problems related to kidney, and any problems related to liver.
3) Improves the flexibility of the spine: With the deep stretch and extension of the spine, the muscles around the upper back, the lower back, the neck and the head, contract, slowly improving the flexibility of the spine. With the elongation of the spine and the flow of prana in a smooth way, flexibility of the entire spine improves giving room for challenging poses.
4) Reduces the stiffness around the lower back relieving back aches: In Kurmasana, the flexibility of the back is very essential keeping in mind the flow of smooth breathing. With the muscles around the lower back activated, and when done carefully, the nerves related to the back aches get their share of massage and prana, thus reducing the pain related to lower back.
5) Reduces symptoms related to sciatic nerve: While the lower back in Tortoise Pose, extends, the largest nerve the sciatic nerve, which begins at the lower back and runs all through the buttocks and down the lower limbs gets a gentle massage. This massage, gives a comfort to the nerve and helps to reduce pain related to sciatica.
6) Cures Insomnia: Though Kurmasana requires a lot of flexibility as this pose is considered difficult, yet if done with support and with guidance, it acts as a great way to relax the entire nerves and calms the mind inducing sleep. Hence can be used therapeutically to heal insomnia.
"
Supta Padangusthasana A Straps,"1) The fundamental reason to practice this variation using a yoga strap helps beginners, who are new to yoga or those who have tight hips and hamstrings, or who may otherwise find it difficult to follow the base pose, Supta Padangusthasana. This facilitates the deeper opening of the legs muscles and makes the upper body; the shoulder blades, back, and head, remain firm and grounded.
2) Use of a yoga strap helps to improve alignment and posture to get an incredible stretch. This way the stretching becomes more effective and enjoyable.
3) At the intermediate level, the use of a yoga strap helps practitioners to deepen the practice and to hold the pose for a longer duration with ease. When practitioners are comfortable holding a pose with ease, their awareness automatically turns to the breath and the body parts involved; the core, pelvis, and abdominal muscles support the leg and the lower back to stay steady, and thus they learn to focus and connect with their breaths.
4) Once the body-breath connection is established, this practice at the advanced level encourages sthiram and sukham, which means the posture which is firm and pleasant. Also, when one releases the posture, one feels rested.
5) Included in restorative yoga sequence, in the practice of Reclined Big Toe Pose Straps, the hips, knees, ankles, and shoulders joints result in the extension and relaxation of the various muscles, tendons, and ligaments at these joints. The deeper the stretch, the better the stability of the joints and this becomes easier with the help of a yoga strap. Although, care should be taken while trying this pose for the first time, to avoid overstretching.
6) Included in the therapeutic yoga sequence, students who have injured knee, hamstrings, or calves, lower back pain, and need for the healing process, can consider Reclined Big Toe Pose Straps. The careful stretching of the leg with the support of a yoga strap can be of great help with the healing process of the injured muscles. This pose relieves one from sciatica and lumbago pain; gives a great relief to the pelvic region by aerating the area.
7)The practice of Reclined Big Toe Pose Straps is useful for women who have experienced symptoms during menstruation. The gentle massage of the reproductive organs while the muscles are in stretch helps ease the symptoms of menstruation."
Ardha Kapotasana,"1.Internal organs have better toning improving their functions: The stretch at the entire abdominal muscles encourages a proper functioning of the internal organs, thus improving digestion too.
2.Improves the flexibility of the spine: In this Simple Pigeon Pose, the gentle stretch of the back taking the spine in a backbend, improves the flexibility slowly but surely. This pose acts as a preparatory pose to the complete Kapotasana, which is an advance level pose.
3.Reproductive Systems improves with improved blood circulation: With the improved flow of prana through the spine with the deep stretch in this Simple Pigeon Pose, it gives room for better blood flow and energy stimulating and improving the functioning of the reproductive organs
4. Activates the entire Endocrine System: The endocrine system which includes the pineal gland, pituitary gland, thyroid gland, adrenal gland and pancreas, gets stimulated with the deep stretch at the head, neck, chest and abdomen. The deep stretch of the muscles around these glands stimulates the entire endocrine system."
Utkata Konasana,"1.It builds strength and stability within the lower body and a strong base for the hips and spine.
2.Goddess Pose (Utkata Konasana) stimulates the pelvis, encouraging flow of prana for better functioning of the reproductive organs. Thus, this pose helps women in improving fertility and is also beneficial to those during childbirth.
3.With the practice of Goddess Pose, using the upper body efficiently will help in the maximum use of the diaphragm muscles. Breathing is more pronounced with the shoulders and arms opened up.
4.tudents can learn to focus on the body and the breathing process, thus building awareness. "
Sahaja Navasana,"1.Easy Boat Pose increases the spine-flexibility while reclining back by holding the position for longer duration as the space between the vertebrae relaxes. To raise the legs up in the air, like in Navasana, it needs not only stability but also flexibility that is gained during the practice of this pose.
2.he Easy Boat Pose helps to stimulate the internal organs like the stomach, Pancreas, kidneys, gallbladder, intestine, spleen, liver, and reproductive organs. This boat pose keeps the core healthy and a healthy spine. As a balance yoga pose, Easy Boat Pose teaches to balance the trunk while diving deep into a meditative state. This pose activates the manipura chakra and balances the practitionerâ€™s emotions. It also enhances creativity.
"
Skandasana,"1.The flexing of the toes and the ankles in Skandasana (Half Squat Pose) helps to open and stretch these joints. The flexing helps to increase the flow of blood keeping the lower limbs strong.
2.When done in a flow like this variation Sahaja Ardha Malasana (Spontaneous Flowing Half Squat), builds on the core muscles. It helps use the abdominal muscles engaging them to help move the body in a flow from one side to another.
3.it helps to open the lower back stretching the gluteus maximus (buttocks) and the sacrum (lower spine). Stretching the base of the spine while engaging the core (pulling the belly in) acts as a great support for the entire spine keeping the lower back away from aches and pains."
Parighasana,"1.Parighasana helps increase the immunity of the body in various ways. Firstly, as the chest is able to expand more than before, it helps increase the functioning of the respiratory system. This helps reduce the frequency and intensity of allergies, over a period of time.
2.it stimulates the lymphatic system as one moves the arm overhead, as the armpit houses lymph nodes, which play an integral part in the body's immunity. This helps promote lymphatic flow in the body, which contains antibodies.
3.A wonderful practice which is a gentle heart opener, thus stimulating the Anahata Chakra (Heart Chakra), while ensuring balance in the first two chakras (Root and Sacral). The side bend helps to increase the prana moving from the heart towards the Third Eye Chakra, energizing the body. And at the time of releasing from the pose, there is downward flow of energy - apana vayu (removing the excess out) thus ensuring a balance in the energy - and ultimately balance in the first four chakras."
Anuvittasana,"1.The contraction of the muscles around the hips and the lower back, while in the backbend helps with both the toning and flexibility of these muscles. Muscles that stretch and contract improve its range of motion over time. Hence you can say, Ardha Chakrasana improves the flexibility of the hips and lower back (spine).
2.This simple standing backbend can be a great practice to open the heart, and hence sometimes is used for the better functioning of the heart. The practice also regulates the blood pressure.
3.Lungs and Respiratory: The stretching of the muscles around the chest and the diaphragm, breathing to the maximum with the lungs is encouraged. This stretching improves the functioning of the lungs reducing any respiratory disorders.
4.Balance and awareness: The backbend in Ardha Chakrasana (Half Wheel Pose), requires one to be aware of the body, the breath, and the balance. Hence improves balance with both the body and the mind. It creates awareness which is essential for balance."
Jhulana Lurhakanasana,"1.Core muscles are stretched and strengthened with the practice of Rocking and Rolling yoga pose. Yoga Sequence for Core
2.Sleep is encouraged with the practice of Rocking and Rolling, and hence when done just before going to bed, it is said to relax the nervous system encouraging good sleep. Nighttime Yoga Sequence
3.Releasing of unwanted gas at the various joints are taken care making sure the body feels light and fresh.
4.Reduces the extra fat all around the hips and the tummy with the practice of Rocking and Rolling yoga pose, thus toning the body.
5.Warms up the body, and hence should be done as part of the warm up series of yoga poses. The warming up of the muscles before entering into the practice of major yoga poses keeps the muscles and tendons safe and away from injury."
